what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r36x201110201842,"com.google.gdt.eclipse.designer.uibinder.editor.UiBinderEditor",1326274648964
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1326274659582
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1326274659851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1326274692075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274692997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274705150
activated,view,com.google.gwt.eclipse.oophm,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.DevModeView",1326274705169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274850034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274854729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274855242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274857092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274857710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274858885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326274889774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275089502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275090468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275100115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275101491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275102690
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1326275320181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275332930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275334226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275343140
activated,view,com.google.gwt.eclipse.oophm,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.DevModeView",1326275849909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275849941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275853995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275894578
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1326275896652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326275921975
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1326275930170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326276007095
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1326276010333
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1326276024443
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1326276033011
activated,editor,com.google.gwt.eclipse.core,2.5.0.v201112160242-rel-r36,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1326276041555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1326276074486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326276079189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326276083056
